Barcode,Product Name,Category,Epos PriceExTax,Epos PriceIncTax,Correct PriceExTax,Correct PriceIncTax,Difference,Issue
716165174233,RAW CLASSIC,VAPE & CIGAR,2.21,2.50,2.65,2.99,-0.44,price landed on the wrong product
716165280965,"Raw 1 1/4"" Black",VAPE & CIGAR,3.20,3.62,2.65,2.99,0.55,price landed on the wrong product
062300017256,"RAID ANT,ROACH & EARWIG",HEALTH & BEAUTY,3.99,4.51,12.99,14.68,-9.00,price landed on the wrong product
065656913500,Q-tips cotton swabs,HEALTH & BEAUTY,2.65,2.99,4.99,5.64,-2.34,price landed on the wrong product
06748906,Pwrd,DRINKS,2.65,2.99,3.49,3.94,-0.84,price landed on the wrong product
806712305279,Purew Air,GENERAL ITEMS,12.99,14.68,6.50,7.35,6.49,price landed on the wrong product
806712314905,Pure klean,GROCERY,4.99,5.64,2.99,3.38,2.00,price landed on the wrong product
806712307839,Pure clean dish washing solution,GROCERY,4.99,5.64,2.99,3.38,2.00,price landed on the wrong product
806712305286,Pure air,GROCERY,3.49,3.94,2.99,3.38,0.50,price landed on the wrong product
806712310396,Pure air,GROCERY,6.50,7.35,2.99,3.38,3.51,price landed on the wrong product
055966919088,Pure Air,GENERAL ITEMS,2.99,3.38,6.50,7.35,-3.51,price landed on the wrong product
806712310402,Pure air,GENERAL ITEMS,2.99,3.38,6.50,7.35,-3.51,price landed on the wrong product
806712304708,Pur-est liquid soap,HEALTH & BEAUTY,2.99,3.38,3.99,4.51,-1.00,price landed on the wrong product
806712306870,Pur-est liquid soap,HEALTH & BEAUTY,2.99,3.38,3.99,4.51,-1.00,price landed on the wrong product
067311010029,Rougemont Apple juice 2L,GROCERY,2.69,3.04,5.00,5.65,-2.31,price landed on the wrong product
059136991423,RONSON,HEALTH & BEAUTY,5.99,6.77,4.99,5.64,1.00,price landed on the wrong product
041116005190,RING POP,"CANDY,GUMS & CHOCOLATES",4.29,4.85,1.33,1.50,2.96,price landed on the wrong product
056327004948,Rickards Red 473 ML,Beer,3.00,3.39,4.09,4.61,-1.09,price landed on the wrong product
620213250124,REV PET VODKA BEV 437ML,Beer,5.00,5.65,3.09,3.48,1.91,price landed on the wrong product
060410047217,regular CHIPS & SNACKS,CHIPS & SNACKS,4.99,5.64,5.49,6.20,-0.50,price landed on the wrong product
056600793217,REESES 3 CUP,"CANDY,GUMS & CHOCOLATES",1.33,1.50,1.99,2.25,-0.66,price landed on the wrong product
060410046715,Sea salt & malt vinegar,CHIPS & SNACKS,1.00,1.13,5.50,6.22,-4.50,price landed on the wrong product
